Name;Goods types;Measurement unit;Group ID;Product types;Value;Date
SILESIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;5.07;2017-11
WEST POMERANIA;;PLN;2;fresh non-dressed carp - per 1kg;;2005-10
ŁÓDŹ;;PLN;2;beef with bone (rump steak) - per 1kg;22.27;2014-1
OPOLE;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2013-2
HOLY CROSS;;PLN;2;beef with bone (rump steak) - per 1kg;9.0;2001-4
WARMIA-MASURIA;;PLN;2;pork ham cooked - per 1kg;16.48;2005-9
LESSER POLAND;;PLN;2;boneless beef (sirloin) - per 1kg;20.38;2009-1
WARMIA-MASURIA;;PLN;2;fresh non-dressed trout - per 1kg;16.4;2018-6
SUBCARPATHIA;;PLN;2;dressed chickens - per 1kg;4.45;1999-7
PODLASKIE;;PLN;2;pork belly cooked - per 1kg;15.29;2015-7
WARMIA-MASURIA;;PLN;2;pork ham cooked - per 1kg;15.43;1999-1
GREATER POLAND;;PLN;4;Masurian barley groats - per 1kg;3.6;2016-9
LOWER SILESIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;9.97;2009-10
LOWER SILESIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.25301204819277107;2011-9
SUBCARPATHIA;;PLN;4;Masurian barley groats - per 1kg;0.0;2001-3
ŁÓDŹ;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.1;2008-8
LOWER SILESIA;;PLN;2;Italian head cheese - per 1kg;6.37;2003-10
SUBCARPATHIA;;PLN;4;bread - per 1kg;;2019-5
LUBUSZ;;PLN;2;Italian head cheese - per 1kg;6.33;2007-9
ŁÓDŹ;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;1.74;2000-12
LESSER POLAND;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.37;2011-9
WEST POMERANIA;natural chocolate plain - per 1kg;PLN;3;;0.0;2009-12
LOWER SILESIA;;PLN;4;bread - per 1kg;;2006-11
LUBUSZ;;PLN;2;barley groats sausage - per 1kg;3.81;2003-12
SILESIA;;PLN;2;smoked bacon with ribs - per 1kg;14.7;2014-4
HOLY CROSS;;PLN;2;Hunter's sausage dried - per 1kg;0.0;2013-10
POMERANIA;;PLN;2;fresh non-dressed trout - per 1kg;11.52;2011-12
GREATER POLAND;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.01;2004-2
HOLY CROSS;;PLN;2;fresh non-dressed trout - per 1kg;;2001-5
LUBUSZ;apple juice, boxed - per 1l;PLN;1;;0.0;2016-3
POLAND;;PLN;2;pork  meat (raw bacon) - per 1kg;8.15;2006-4
SILESIA;;PLN;2;Italian head cheese - per 1kg;11.97;2012-12
POMERANIA;;PLN;2;pork belly cooked - per 1kg;17.45;2016-10
WEST POMERANIA;;PLN;2;Hunter's sausage dried - per 1kg;16.77;2006-7
POLAND;;PLN;2;dressed chickens - per 1kg;6.21;2018-8
HOLY CROSS;apple juice, boxed - per 1l;PLN;1;;0.0;2001-7
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1;;0.0;2011-6
PODLASKIE;;PLN;2;beef with bone (rump steak) - per 1kg;17.28;2007-4
PODLASKIE;beet sugar white, bagged - per 1kg;PLN;3;;0.0;2016-3
WEST POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2000-2
GREATER POLAND;;PLN;2;haddock fillets frozen - per 1kg;0.54;2007-4
POMERANIA;apple juice, boxed - per 1l;PLN;1;;0.0;2011-6
OPOLE;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2000-11
LUBLIN;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2018-12
HOLY CROSS;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.21;2011-7
LUBUSZ;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;15.66;2018-12
LESSER POLAND;;PLN;2;pork ham cooked - per 1kg;15.79;2000-3
SILESIA;;PLN;2;barley groats sausage - per 1kg;4.6;2007-1
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;1.95;2006-3
SUBCARPATHIA;;PLN;4;bread - per 1kg;;2011-2
SUBCARPATHIA;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2016-5
WARMIA-MASURIA;;PLN;2;dressed chickens - per 1kg;5.84;2018-5
SUBCARPATHIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2015-11
LESSER POLAND;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;13.21;2016-6
WEST POMERANIA;;PLN;2;dressed chickens - per 1kg;7.14;2013-1
POMERANIA;;PLN;2;Italian head cheese - per 1kg;5.75;2003-3
MASOVIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.73;2003-6
ŁÓDŹ;;PLN;2;pork belly cooked - per 1kg;13.66;1999-12
PODLASKIE;;PLN;2;pork belly cooked - per 1kg;14.55;2000-10
SILESIA;;PLN;2;beef with bone (rump steak) - per 1kg;8.7;1999-12
WARMIA-MASURIA;;PLN;2;salted herring, non-dressed - per 1kg;0.0;2001-11
POMERANIA;;PLN;2;barley groats sausage - per 1kg;9.37;2019-6
POMERANIA;;PLN;2;Italian head cheese - per 1kg;10.81;2013-9
LOWER SILESIA;;PLN;2;Hunter's sausage dried - per 1kg;16.85;2001-1
KUYAVIA-POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.9;2002-2
LUBLIN;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2012-1
LOWER SILESIA;;PLN;2;Hunter's sausage dried - per 1kg;18.29;2001-4
LESSER POLAND;frozen carrot and pea mix - per 1kg;EUR;1;;0.5759036144578313;2019-6
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1;;0.0;2012-3
WARMIA-MASURIA;beet sugar white, bagged - per 1kg;PLN;3;;0.0;2006-8
SUBCARPATHIA;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2018-3
LOWER SILESIA;;PLN;2;beef with bone (rump steak) - per 1kg;19.01;2010-6
WEST POMERANIA;;PLN;2;fresh non-dressed trout - per 1kg;12.84;2017-12
LUBLIN;natural chocolate plain - per 1kg;PLN;3;;0.0;2018-4
KUYAVIA-POMERANIA;natural chocolate plain - per 1kg;PLN;3;;15.26;2018-5
PODLASKIE;;PLN;2;dressed chickens - per 1kg;5.79;2009-11
LOWER SILESIA;natural chocolate plain - per 1kg;PLN;3;;0.0;2005-2
POLAND;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.07;2001-2
POLAND;;PLN;2;pork  meat (raw bacon) - per 1kg;10.38;2010-10
GREATER POLAND;fresh chichen egges - per 666pcs.;PLN;3;;0.32;2018-8
GREATER POLAND;white table salt bagged - per 1kg;PLN;3;;0.0;2008-10
WARMIA-MASURIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;;1999-4
WEST POMERANIA;;PLN;4;bread - per 1kg;;2006-3
SUBCARPATHIA;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2011-11
SILESIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2007-6
WEST POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;2.57;2005-10
LOWER SILESIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;9.22;2002-9
ŁÓDŹ;;PLN;4;Masurian barley groats - per 1kg;0.0;2014-3
HOLY CROSS;apple juice, boxed - per 1l;PLN;1;;0.0;2016-12
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3;;2.06;2001-7
POLAND;;PLN;2;smoked bacon with ribs - per 1kg;15.2;2015-4
MASOVIA;;PLN;2;haddock fillets frozen - per 1kg;0.0;2012-6
LESSER POLAND;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2011-1
POMERANIA;;PLN;2;barley groats sausage - per 1kg;5.93;2008-6
GREATER POLAND;;PLN;4;bread - per 1kg;;2012-5
POLAND;;PLN;2;salted herring, non-dressed - per 1kg;5.46;2001-11
SILESIA;;PLN;2;pork belly cooked - per 1kg;14.08;1999-4
SILESIA;;PLN;4;Masurian barley groats - per 1kg;0.0;2003-5
PODLASKIE;;PLN;2;Hunter's sausage dried - per 1kg;17.27;2006-10
LESSER POLAND;frozen carrot and pea mix - per 1kg;EUR;1;;0.6698795180722891;2000-1
KUYAVIA-POMERANIA;;PLN;2;dressed chickens - per 1kg;6.47;2016-10
POLAND;;PLN;4;bread - per 1kg;;2015-2
HOLY CROSS;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;;1999-4
POMERANIA;;PLN;4;bread - per 1kg;;2018-3
POMERANIA;;PLN;2;Italian head cheese - per 1kg;11.74;2016-5
LUBLIN;;PLN;2;pork meat with bone (shoulder) - per 1kg;9.92;2017-11
WARMIA-MASURIA;fresh chichen egges - per 666pcs.;PLN;3;;0.0;2013-1
PODLASKIE;30% tomato concentrate - per 1kg;PLN;1;;0.0;2010-8
SILESIA;;PLN;4;bread - per 1kg;;2013-8
LUBUSZ;white table salt bagged - per 1kg;PLN;3;;0.0;2015-7
HOLY CROSS;;PLN;2;Backpacker's canned pork meat - per 300 g;0.0;2017-12
MASOVIA;;PLN;2;beef with bone (rump steak) - per 1kg;8.98;2002-7
OPOLE;natural chocolate plain - per 1kg;PLN;3;;0.0;2013-3
KUYAVIA-POMERANIA;;PLN;2;haddock fillets frozen - per 1kg;15.37;2016-2
LESSER POLAND;;PLN;2;pork belly cooked - per 1kg;11.89;2007-6
ŁÓDŹ;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2018-6
LUBUSZ;;PLN;2;barley groats sausage - per 1kg;3.53;1999-8
KUYAVIA-POMERANIA;;PLN;2;dressed chickens - per 1kg;6.43;2012-6
SUBCARPATHIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2016-9
POLAND;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;2.32;2003-6
SUBCARPATHIA;30% tomato concentrate - per 1kg;PLN;1;;8.08;2006-4
LOWER SILESIA;natural chocolate plain - per 1kg;PLN;3;;0.0;2008-2
OPOLE;;PLN;2;beef with bone (rump steak) - per 1kg;14.49;2004-5
LESSER POLAND;;PLN;2;smoked bacon with ribs - per 1kg;10.93;2010-7
LESSER POLAND;;PLN;2;dressed chickens - per 1kg;4.65;2005-11
SILESIA;;PLN;2;pork belly cooked - per 1kg;16.15;2011-10
PODLASKIE;;PLN;2;smoked bacon with ribs - per 1kg;11.2;2001-1
POMERANIA;;PLN;2;pork belly cooked - per 1kg;15.05;2006-8
SUBCARPATHIA;;PLN;2;pork belly cooked - per 1kg;18.19;2016-7
GREATER POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;1.4;2000-3
LUBLIN;white table salt bagged - per 1kg;PLN;3;;0.0;2019-12
PODLASKIE;apple juice, boxed - per 1l;PLN;1;;0.0;2009-12
POMERANIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.67;2013-2
LESSER POLAND;;PLN;2;haddock fillets frozen - per 1kg;0.0;2014-10
KUYAVIA-POMERANIA;;PLN;2;beef with bone (rump steak) - per 1kg;18.67;2009-11
SUBCARPATHIA;;PLN;2;beef with bone (rump steak) - per 1kg;23.74;2018-7
MASOVIA;;PLN;2;smoked bacon with ribs - per 1kg;11.54;2001-10
GREATER POLAND;natural chocolate plain - per 1kg;PLN;3;;14.78;2006-2
WEST POMERANIA;;PLN;2;barley groats sausage - per 1kg;9.82;2019-6
ŁÓDŹ;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2017-10
PODLASKIE;;PLN;2;pork  meat (raw bacon) - per 1kg;8.28;2005-5
POLAND;;PLN;4;buckwheat groats roasted whole - per 1kg;5.45;2010-7
KUYAVIA-POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.6409638554216868;2000-6
POLAND;;PLN;2;beef with bone (rump steak) - per 1kg;18.17;2008-4
LOWER SILESIA;;PLN;2;dressed chickens - per 1kg;6.01;2008-3
SUBCARPATHIA;;PLN;4;Masurian barley groats - per 1kg;0.0;2014-2
POMERANIA;;PLN;2;fresh non-dressed trout - per 1kg;12.74;2011-11
POLAND;white table salt bagged - per 1kg;PLN;3;;0.41;2018-9
GREATER POLAND;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.92;2002-12
LUBUSZ;;PLN;2;dressed chickens - per 1kg;7.22;2012-12
POLAND;;PLN;4;Masurian barley groats - per 1kg;1.13;2004-9
ŁÓDŹ;;PLN;2;boneless beef (sirloin) - per 1kg;21.23;2008-3
KUYAVIA-POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;6.2;2012-9
SUBCARPATHIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.15;2014-4
KUYAVIA-POMERANIA;;PLN;4;Masurian barley groats - per 1kg;1.23;2003-4
OPOLE;;PLN;2;dressed chickens - per 1kg;0.0;2002-10
POLAND;;PLN;2;pork  meat (raw bacon) - per 1kg;12.17;2012-11
MASOVIA;;PLN;2;Hunter's sausage dried - per 1kg;18.86;2000-9
SILESIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;5.29;2017-6
HOLY CROSS;;PLN;2;boneless beef (sirloin) - per 1kg;11.01;1999-9
OPOLE;apple juice, boxed - per 1l;PLN;1;;0.0;2003-6
MASOVIA;;PLN;2;boneless beef (sirloin) - per 1kg;25.88;2011-7
WEST POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.0;2014-8
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3;;2.24;2000-10
POLAND;beet sugar white, bagged - per 1kg;PLN;3;;1.69;2019-7
LUBLIN;;PLN;2;dressed chickens - per 1kg;7.32;2016-3
WARMIA-MASURIA;apple juice, boxed - per 1l;PLN;1;;0.0;2017-4
WEST POMERANIA;;PLN;2;boneless beef (sirloin) - per 1kg;24.03;2009-11
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1;;0.0;2002-8
ŁÓDŹ;apple juice, boxed - per 1l;PLN;1;;0.0;2014-9
HOLY CROSS;;PLN;2;Italian head cheese - per 1kg;9.04;2012-4
LOWER SILESIA;;PLN;2;Backpacker's canned pork meat - per 300 g;3.02;2006-12
KUYAVIA-POMERANIA;;PLN;2;dressed chickens - per 1kg;5.74;2017-10
LUBUSZ;;PLN;2;pork  meat (raw bacon) - per 1kg;9.1;2002-10
SUBCARPATHIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.21;2012-12
SUBCARPATHIA;;PLN;2;Italian head cheese - per 1kg;7.69;2008-2
PODLASKIE;;PLN;2;Backpacker's canned pork meat - per 300 g;2.45;2010-11
POMERANIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;2.36;2019-9
KUYAVIA-POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;1999-1
LUBLIN;;PLN;2;barley groats sausage - per 1kg;7.62;2013-10
LUBLIN;;PLN;2;haddock fillets frozen - per 1kg;0.0;2006-4
LUBLIN;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.79;1999-11
HOLY CROSS;;PLN;4;Masurian barley groats - per 1kg;1.54;2000-8
LUBLIN;;PLN;2;pork ham cooked - per 1kg;15.57;2004-4
LESSER POLAND;fresh chichen egges - per 666pcs.;PLN;3;;0.0;2003-3
MASOVIA;white table salt bagged - per 1kg;PLN;3;;0.0;2015-5
SILESIA;;PLN;2;haddock fillets frozen - per 1kg;18.77;2017-11
ŁÓDŹ;;PLN;2;Hunter's sausage dried - per 1kg;19.68;2012-3
POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.28;2019-4
SUBCARPATHIA;;PLN;2;boneless beef (sirloin) - per 1kg;32.64;2018-7
GREATER POLAND;;PLN;2;Hunter's sausage dried - per 1kg;15.8;1999-4
KUYAVIA-POMERANIA;;PLN;2;pork belly cooked - per 1kg;16.87;2019-12
SUBCARPATHIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;11.43;2016-6
LOWER SILESIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2013-9
LOWER SILESIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.0;2017-8
LESSER POLAND;natural chocolate plain - per 1kg;PLN;3;;0.11;2009-3
LUBUSZ;;PLN;2;Hunter's sausage dried - per 1kg;15.26;2004-12
ŁÓDŹ;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;2.4;2007-11
SUBCARPATHIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;12.32;2012-6
ŁÓDŹ;;PLN;4;Masurian barley groats - per 1kg;0.0;2008-5
POMERANIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.25;2016-4
GREATER POLAND;natural chocolate plain - per 1kg;PLN;3;;12.92;2012-6
POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2004-1
WARMIA-MASURIA;fresh chichen egges - per 666pcs.;PLN;3;;0.0;2002-6
SUBCARPATHIA;natural chocolate plain - per 1kg;PLN;3;;0.0;2004-9
LESSER POLAND;white table salt bagged - per 1kg;PLN;3;;0.46;2015-11
GREATER POLAND;;PLN;2;pork ham cooked - per 1kg;21.26;2015-10
WARMIA-MASURIA;;PLN;2;pork ham cooked - per 1kg;15.62;2004-10
WEST POMERANIA;;PLN;2;pork ham cooked - per 1kg;22.66;2018-5
LESSER POLAND;;PLN;2;barley groats sausage - per 1kg;4.98;2009-1
OPOLE;;PLN;2;haddock fillets frozen - per 1kg;0.0;2014-9
LOWER SILESIA;;PLN;2;barley groats sausage - per 1kg;5.41;2007-8
